id,display_name,sector
1506,Filtration and Separation,Other topics
1507,Fluid Flow and Transfer Processes,Other topics
1508,Process Chemistry and Technology,Other topics
2202,Aerospace Engineering,Other topics
2206,Computational Mechanics,Other topics
2213,"Safety, Risk, Reliability and Quality",Other topics
3102,Acoustics and Ultrasonics,Other topics
3103,Astronomy and Astrophysics,Other topics
3104,Condensed Matter Physics,Other topics
3105,Instrumentation,Other topics
3106,Nuclear and High Energy Physics,Other topics
3107,"Atomic and Molecular Physics, and Optics",Other topics
3108,Radiation,Other topics
3109,Statistical and Nonlinear Physics,Other topics
2922,Research and Theory,Other topics
2307,"Health, Toxicology and Mutagenesis",Other topics
2310,Pollution,Other topics
2311,Waste Management and Disposal,Other topics
2403,Immunology,Other topics
2500,General Materials Science,Other topics
2502,Biomaterials,Other topics
2503,Ceramics and Composites,Other topics
2504,"Electronic, Optical and Magnetic Materials",Other topics
2508,"Surfaces, Coatings and Films",Other topics
2602,Algebra and Number Theory,Other topics
2604,Applied Mathematics,Other topics
2605,Computational Mathematics,Other topics
2607,Discrete Mathematics and Combinatorics,Other topics
2608,Geometry and Topology,Other topics
2610,Mathematical Physics,Other topics
2611,Modeling and Simulation,Other topics
2612,Numerical Analysis,Other topics
2613,Statistics and Probability,Other topics
